workload,config,phase,sim_cycle,baseline_cycle,cycle_delta,paper_mascar_enabled,paper_mascar_mem_stall_event,paper_mascar_saturation_event,paper_mascar_pitstop_event,paper_mascar_would_deprioritize,paper_mascar_skip_count,pass,notes
vecadd,mascar_noop_off,1,5569,5569,0,0,0,0,0,0,0,PASS,feature_off cycle = baseline
vecadd,mascar_noop_on,1,5569,5569,0,1,0,0,0,0,0,PASS,feature_on_noop unchanged
rodinia_hotspot,mascar_noop_off,1,6931,6931,0,0,0,0,0,0,0,PASS,feature_off unchanged
rodinia_hotspot,mascar_noop_on,1,6931,6931,0,1,0,0,0,0,0,PASS,feature_on_noop unchanged
rodinia_bfs,mascar_noop_off,1,6665,6665,0,0,0,0,0,0,0,PASS,feature_off unchanged
vecadd,mascar_noop_off,2,5569,5569,0,0,0,0,0,0,0,PASS,feature_off regression ok
rodinia_hotspot,mascar_noop_off,2,6931,6931,0,0,0,0,0,0,0,PASS,feature_off regression ok
vecadd,mascar_telemetry_on,2,5569,5569,0,1,57,0,0,0,0,PASS,cycle unchanged; low mem pressure
rodinia_hotspot,mascar_telemetry_on,2,6931,6931,0,1,12150,0,0,0,0,PASS,cycle unchanged; HIGH mem pressure
rodinia_srad_v2,mascar_telemetry_on,2,8236,8236,0,1,3989,0,0,0,0,PASS,cycle unchanged; med mem pressure
rodinia_bfs,mascar_telemetry_on,2,6665,6665,0,1,1,0,0,0,0,PASS,cycle unchanged; near-zero mem pressure
strided_access,mascar_telemetry_on,2,5825,5825,0,1,57,0,0,0,0,PASS,cycle unchanged; low mem pressure
