paper_id,paper_name,paper_type,baseline_off
bp_2,BP-2,M,completed_stats_found
bfs,bfs,M,completed_stats_found
histo_1,histo-1,M,completed_explicit_pass
histo_3,histo-3,M,completed_explicit_pass
kmeans_1,kmeans-1,M,completed_stats_found
spmv,spmv,M,simulator_error_no_stats
srad_1,srad-1,M,completed_stats_found
srad_2,srad-2,M,completed_stats_found
bp_1,BP-1,C,completed_stats_found
histo_2,histo-2,C,completed_explicit_pass
kmeans_2,kmeans-2,C,completed_stats_found
mri_q,mri-q,C,completed_stats_found
pathfinder,pathfinder,C,completed_stats_found
sgemm,sgemm,C,simulator_error_no_stats
stencil,stencil,C,completed_stats_found
