config_name,branch,base_config,feature_state,expected_behavior,notes
baseline_cache_inst,cache-inst-v0,SM7_QV100,baseline,cache instrumentation baseline,no CCWS; reference numbers
ccws_feature_off,hrl/paper/ccws-repro-v0,SM7_QV100,feature_off,should match baseline,gpgpu_enable_ccws=0; all paper_ccws_* stats = 0
ccws_feature_on,hrl/paper/ccws-repro-v0,SM7_QV100,feature_on,enable CCWS; HCS-like workloads should show fewer L1D misses,gpgpu_enable_ccws=1 k_throttle=8 base_score=100 vta_epw=16
ccws_noop_off,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_noop_off,feature_off,identical to baseline; paper_ccws_enabled=0,Round T explicit off config
ccws_noop_on,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_noop_on,feature_on_noop,no behavior change; paper_ccws_enabled=1; all counters 0,Round T no-op on config; VTA/LLS not yet implemented
ccws_swl_limit_4,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_swl_limit_4,swl_static,static SWL limiting; GTO scheduler; limit 4 warps/scheduler,Round U; warp_limiting:2:4; no CCWS dynamic gating
ccws_swl_limit_8,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_swl_limit_8,swl_static,static SWL limiting; GTO scheduler; limit 8 warps/scheduler,Round U; warp_limiting:2:8; paper sweet-spot
ccws_swl_limit_16,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_swl_limit_16,swl_static,GTO reference; limit 16 = no effective limit for SM7_QV100,Round U; warp_limiting:2:16; separates LRR vs GTO effect
ccws_vta_probe_off,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_vta_probe_off,feature_off,all paper_ccws_* = 0; sim_cycle = baseline,Round V; gpgpu_enable_ccws=0 gpgpu_ccws_enable_vta_probe=0
ccws_vta_probe_on,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_vta_probe_on,vta_probe_on,vta_probe>0 for L1D-miss workloads; vta_hit>0 for HCS-like; load_gate_block=0; sim_cycle=baseline,Round V; gpgpu_enable_ccws=1 gpgpu_ccws_enable_vta_probe=1; no gating
