run_group,swl_limit,workload,result_status,sim_cycle,ipc,cacheinst_L1D_miss_rate,cacheinst_L2_miss_rate,W0_Scoreboard,paper_ccws_enabled,paper_ccws_load_gate_block,notes
round_u,baseline(lrr),vecadd,pass,5569,0.9653,1.0000,0.3333,1154,0,0,LRR reference (Round T feature_off)
round_u,baseline(lrr),strided_access,pass,5825,0.8350,0.2222,0.5000,2215,0,0,LRR reference
round_u,baseline(lrr),page_stride_access,pass,5851,0.8313,0.3333,0.3333,2094,0,0,LRR reference
round_u,baseline(lrr),atomic_contention,pass,5414,0.6620,0.0000,0.0000,692,0,0,LRR reference
round_u,baseline(lrr),mutual_tiled,pass,7479,25.74,1.0000,0.2000,28777,0,0,LRR reference
round_u,baseline(lrr),polybench_2dconv,pass,6652,123.5,0.2430,0.3700,211260,0,0,LRR reference
round_u,baseline(lrr),rodinia_hotspot,pass,6931,133.4,1.0000,0.1990,122596,0,0,LRR reference
round_u,4,vecadd,pass,5558,0.9673,1.0000,0.3333,NA,0,0,GTO-SWL; -0.2% vs baseline; tiny wl: limit has no effect
round_u,4,strided_access,pass,5824,0.8352,0.2222,0.5000,NA,0,0,GTO-SWL; ~0% vs baseline; tiny wl: limit has no effect
round_u,4,page_stride_access,pass,5850,0.8315,0.3333,0.3333,NA,0,0,GTO-SWL; ~0% vs baseline; tiny wl: limit has no effect
round_u,4,atomic_contention,pass,5407,0.6628,0.0000,0.0000,NA,0,0,GTO-SWL; -0.1% vs baseline; tiny wl: limit has no effect
round_u,4,mutual_tiled,pass,7451,25.84,1.0000,0.2000,NA,0,0,GTO-SWL; -0.4% vs baseline; tiny wl: limit has no effect
round_u,4,polybench_2dconv,pass,6660,123.33,0.2449,0.3671,NA,0,0,GTO-SWL; +0.1% vs baseline; tiny wl: limit has no effect
round_u,4,rodinia_hotspot,pass,6917,133.62,1.0000,0.1988,NA,0,0,GTO-SWL; -0.2% vs baseline; tiny wl: limit has no effect
round_u,8,vecadd,pass,5558,0.9673,1.0000,0.3333,NA,0,0,identical to limit_4: tiny wl
round_u,8,strided_access,pass,5824,0.8352,0.2222,0.5000,NA,0,0,identical to limit_4: tiny wl
round_u,8,page_stride_access,pass,5850,0.8315,0.3333,0.3333,NA,0,0,identical to limit_4: tiny wl
round_u,8,atomic_contention,pass,5407,0.6628,0.0000,0.0000,NA,0,0,identical to limit_4: tiny wl
round_u,8,mutual_tiled,pass,7451,25.84,1.0000,0.2000,NA,0,0,identical to limit_4: tiny wl
round_u,8,polybench_2dconv,pass,6660,123.33,0.2449,0.3671,NA,0,0,identical to limit_4: tiny wl
round_u,8,rodinia_hotspot,pass,6917,133.62,1.0000,0.1988,NA,0,0,identical to limit_4: tiny wl
round_u,16,vecadd,pass,5558,0.9673,1.0000,0.3333,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,strided_access,pass,5824,0.8352,0.2222,0.5000,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,page_stride_access,pass,5850,0.8315,0.3333,0.3333,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,atomic_contention,pass,5407,0.6628,0.0000,0.0000,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,mutual_tiled,pass,7451,25.84,1.0000,0.2000,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,polybench_2dconv,pass,6660,123.33,0.2449,0.3671,NA,0,0,identical to limit_4: tiny wl; GTO reference
round_u,16,rodinia_hotspot,pass,6917,133.62,1.0000,0.1988,NA,0,0,identical to limit_4: tiny wl; GTO reference
