paper_id,paper_name,paper_type,paper_suite,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status,w5_m2_active,w5_m3_active,w5_m4_active,w5c_m2_triggered,w5c_m3_triggered,w5c_m4_triggered,selected_for_w6,selection_reason,timeout_sec,notes
bp_2,BP-2,M,Rodinia,19,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local backprop app exists but BP-2 phase mapping is unresolved
bfs,bfs,M,Rodinia,2.4,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_bfs_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 generated graph increases active BFS threads but keeps smoke bounded
histo_1,histo-1,M,Parboil,15.3,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local histo app exists but histo-1 phase mapping is unresolved
histo_3,histo-3,M,Parboil,14.3,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local histo app exists but histo-3 phase mapping is unresolved
kmeans_1,kmeans-1,M,Rodinia,0.27,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local kmeans app exists but kmeans-1 phase mapping is unresolved
lbm,lbm,M,Parboil,10.4,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil lbm source exists but no local runnable wrapper or binary
leuko_1,leuko-1,M,Rodinia,28,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
mrig_1,mrig-1,M,Parboil,13.4,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mrig_2,mrig-2,M,Parboil,22.4,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mummer,mummer,M,Rodinia,4.9,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary
