paper_id,paper_name,paper_type,config_id,classification,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,baseline_cycles,cycle_speedup_vs_baseline,m2_mp_cycles,m2_owner_acquire,m2_nonowner_mem_block,m3_hitonly_attempt,m3_hitonly_hit,m3_hitonly_nack,m3_probe_attempt,m3_probe_hit,m3_probe_nack,m3_nonowner_lsu_probe_allowed,m4_enqueue_success,m4_retry_attempt,m4_retry_requeue,m2_active,m3_strict_active,m3_probe_observed,m4_active,any_active
bp_2,BP-2,M,baseline_off,completed_stats_found,0,6911,42.2654,6911,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs,bfs,M,baseline_off,completed_stats_found,0,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_1,histo-1,M,baseline_off,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_3,histo-3,M,baseline_off,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_1,kmeans-1,M,baseline_off,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,spmv,M,baseline_off,completed_explicit_pass,1,21813,0.9723,21813,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_1,srad-1,M,baseline_off,completed_stats_found,0,8236,80.2572,8236,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_2,srad-2,M,baseline_off,completed_stats_found,0,8236,80.2572,8236,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bp_2,BP-2,M,m2_owner_sched,completed_stats_found,0,6918,42.2226,6911,0.998988,525,16,732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bfs,bfs,M,m2_owner_sched,completed_stats_found,0,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_1,histo-1,M,m2_owner_sched,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_3,histo-3,M,m2_owner_sched,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_1,kmeans-1,M,m2_owner_sched,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,spmv,M,m2_owner_sched,completed_explicit_pass,1,21813,0.9723,21813,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
