app_id,suite_id,benchmark_name,binary_path,data_path,wrapper_status,availability_status,current_ready_before,w22_current_ready,w22_smoke_result,w22_has_stats,promotion_status,blocker,next_action
rodinia_backprop,rodinia,backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_bfs,rodinia,bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_hotspot,rodinia,hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_kmeans,rodinia,kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_lud,rodinia,lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_nw,rodinia,nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_pathfinder,rodinia,pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_srad,rodinia,srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,unknown,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
parboil_histo,parboil,histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,ready,ready,1,1,completed_explicit_pass,1,retained_ready,,use for W23 baseline characterization
parboil_mri_q,parboil,mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
parboil_sgemm,parboil,sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/data,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
parboil_spmv,parboil,spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/data,ready,ready,1,1,completed_explicit_pass,1,retained_ready,,use for W23 baseline characterization
parboil_stencil,parboil,stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data,ready,ready,1,1,completed_stats_found,1,retained_ready,,use for W23 baseline characterization
rodinia_huffman,rodinia,huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,unknown,w22_candidate_rejected,w22_candidate_no_stats,0,0,dry_run_or_no_stats_exit0,0,not_promoted,no_gpgpusim_stats_from_candidate_command,derive command that launches CUDA kernels under GPGPU-Sim and rerun collector smoke
parboil_simple_mm,parboil,simple_mm,unknown,unknown,w22_candidate_rejected,w22_candidate_no_stats,0,0,dry_run_or_no_stats_exit0,0,not_promoted,no_gpgpusim_stats_from_candidate_command,derive command that launches CUDA kernels under GPGPU-Sim and rerun collector smoke
parboil_cp,parboil,cp,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_base_w21fix2/cp;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_w21fix2/cp,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
parboil_cutcp,parboil,cutcp,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_base_w21fix2/cutcp;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_w21fix2/cutcp,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
parboil_lbm,parboil,lbm,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/build/cuda_base_w21fix2/lbm;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/build/cuda_w21fix2/lbm,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
parboil_mri_gridding,parboil,mri-gridding,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/build/cuda_base_w21fix2/mri-gridding;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/build/cuda_w21fix2/mri-gridding,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
parboil_pns,parboil,pns,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/build/cuda_base_w21fix2/pns;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/build/cuda_w21fix2/pns,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
parboil_rpes,parboil,rpes,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/build/cuda_base_w21fix2/rpes;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/build/cuda_w21fix2/rpes,missing_or_unverified,unavailable,binary_recovered_command_data_unverified,0,0,not_run,0,not_promoted,missing external data or validated args,"create/import tiny dataset and validated command, then run W22 candidate smoke"
