app_id,app_name,suite_id,benchmark_name,current_ready,wrapper_status,availability_status,run_command,source_path,binary_path,data_path,input_scale,default_timeout_sec,blocker,next_action,notes
rodinia_backprop,rodinia_backprop,rodinia,backprop,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_bfs,rodinia_bfs,rodinia,bfs,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_hotspot,rodinia_hotspot,rodinia,hotspot,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_kmeans,rodinia_kmeans,rodinia,kmeans,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_lud,rodinia_lud,rodinia,lud,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud && source /workspace/repos/load_gpgpusim.sh && ./lud_cuda -s 32 -v,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_nw,rodinia_nw,rodinia,nw,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw && source /workspace/repos/load_gpgpusim.sh && ./needle 64 10,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_pathfinder,rodinia_pathfinder,rodinia,pathfinder,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder && source /workspace/repos/load_gpgpusim.sh && ./pathfinder 64 64 2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_srad,rodinia_srad,rodinia,srad,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2 && source /workspace/repos/load_gpgpusim.sh && ./srad 64 64 0 31 0 31 0.5 1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_histo,parboil_histo,parboil,histo,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_mri_q,parboil_mri_q,parboil,mri-q,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q && source /workspace/repos/load_gpgpusim.sh && ./mri-q -i data/tiny.bin 32,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_sgemm,parboil_sgemm,parboil,sgemm,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
