paper_id,paper_name,paper_type,availability_status,wrapper_path,wrapper_status,build_required,build_command,run_working_dir,run_command,input_size,timeout_sec,dry_run_status,notes
bp_2,BP-2,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,./backprop 256,direct_backprop_256,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local backprop app exists but BP-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
bfs,bfs,M,available,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,./bfs.out data/tiny_graph.txt,direct_bfs_tiny,600,pass,W11: selected ready M workload; W10 retained ready row; original note: Local Rodinia BFS tiny wrapper; W10 direct command to keep matrix config override restorable
histo_1,histo-1,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,./histo 1 -i data/tiny.bin,direct_histo_tiny,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
histo_3,histo-3,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,./histo 1 -i data/tiny.bin,direct_histo_tiny,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-3 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
kmeans_1,kmeans-1,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,./kmeans -i data/tiny.txt -n 4 -m 4,direct_kmeans_tiny,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local kmeans app exists but kmeans-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
lbm,lbm,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
leuko_1,leuko-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
mrig_1,mrig-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
mrig_2,mrig-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
mummer,mummer,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
particle,particle,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
sad_2,sad-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_sad_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
spmv,spmv,M,available,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,bash run_gpgpusim.sh,direct_spmv_tiny,600,pass,W11: selected ready M workload; W10 retained ready row; original note: Local Parboil SpMV tiny wrapper; W10 direct command to keep matrix config override restorable
srad_1,srad-1,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,./srad 64 64 0 31 0 31 0.5 1,direct_srad_tiny,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
srad_2,srad-2,M,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,./srad 64 64 0 31 0 31 0.5 1,direct_srad_tiny,600,pass,W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable
bp_1,BP-1,C,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,./backprop 256,direct_backprop_256,600,pass,W11: preserved Table III row outside active M sweep
cutcp,cutcp,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_cutcp.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
histo_2,histo-2,C,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,./histo 1 -i data/tiny.bin,direct_histo_tiny,600,pass,W11: preserved Table III row outside active M sweep
histogram,histogram,C,missing_source,experiments/paper-mascar/workloads/wrappers/run_histogram.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
kmeans_2,kmeans-2,C,available_approx_phase,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,./kmeans -i data/tiny.txt -n 4 -m 4,direct_kmeans_tiny,600,pass,W11: preserved Table III row outside active M sweep
lavamd,lavaMD,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lavamd.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
leuko_2,leuko-2,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
leuko_3,leuko-3,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
mri_q,mri-q,C,available,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,./mri-q -i data/tiny.bin 32,direct_mriq_tiny,600,pass,W11: preserved Table III row outside active M sweep
mrig_3,mrig-3,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
pathfinder,pathfinder,C,available,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,./pathfinder 128 128 4,direct_pathfinder_128x128_p4,600,pass,W11: preserved Table III row outside active M sweep
sad_1,sad-1,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_sad_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W11: preserved Table III row outside active M sweep
sgemm,sgemm,C,available,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,bash run_gpgpusim.sh,direct_sgemm_tiny,600,pass,W11: preserved Table III row outside active M sweep
