paper_id,paper_name,paper_type,paper_suite,paper_app,paper_kernel_or_phase,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status_w18,phase_mapping_confidence_w18,local_launch_index,local_kernel_name,measurement_scope,selected_for_w24,selection_reason,correctness_status_prior,notes
lbm,lbm,M,Parboil,lbm,whole_app,10.4,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_1,leuko-1,M,Rodinia,leukocyte,phase_1,28,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_1,mrig-1,M,Parboil,mri-gridding,phase_1,13.4,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_2,mrig-2,M,Parboil,mri-gridding,phase_2,22.4,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mummer,mummer,M,Rodinia,mummergpu,whole_app,4.9,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
particle,particle,M,Rodinia,particlefilter,whole_app,3.5,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sad_2,sad-2,M,Parboil,sad,phase_2,10.2,experiments/paper-mascar/workloads/wrappers/run_sad_2.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
cutcp,cutcp,C,Parboil,cutcp,whole_app,949,experiments/paper-mascar/workloads/wrappers/run_cutcp.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
histogram,histogram,C,Rodinia,histogram,whole_app,91.2,experiments/paper-mascar/workloads/wrappers/run_histogram.sh,placeholder_missing_source,missing_source,unavailable,not_w18_target,,,unavailable,0,missing_source,placeholder_missing_source,No local histogram source or wrapper; W17A found no complete local source; No local histogram source or wrapper; W17A found no complete local source; No local histogram source or wrapper; W17A found no complete local source
lavamd,lavaMD,C,Rodinia,lavaMD,whole_app,512,experiments/paper-mascar/workloads/wrappers/run_lavamd.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_2,leuko-2,C,Rodinia,leukocyte,phase_2,173,experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_3,leuko-3,C,Rodinia,leukocyte,phase_3,5289,experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_3,mrig-3,C,Parboil,mri-gridding,phase_3,147,experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sad_1,sad-1,C,Parboil,sad,phase_1,2563,experiments/paper-mascar/workloads/wrappers/run_sad_1.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
tpacf,tpacf,C,Parboil,tpacf,whole_app,10816,experiments/paper-mascar/workloads/wrappers/run_tpacf.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
