paper_id,paper_name,paper_type,availability,wrapper_path,wrapper_status,build_required,build_command,run_working_dir,run_command,input_size,timeout_sec,dry_run_status,notes
bp_2,BP-2,M,available,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
bfs,bfs,M,available,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_bfs,tiny,1800,pass,measurement_scope=app_run_unmapped; phase_confidence=not_w18_target; Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,available,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
histo_3,histo-3,M,available,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
kmeans_1,kmeans-1,M,available,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_kmeans,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
spmv,spmv,M,available,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_spmv,tiny,1800,pass,measurement_scope=app_run_unmapped; phase_confidence=not_w18_target; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,available,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_srad_v2,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
srad_2,srad-2,M,available,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_srad_v2,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
bp_1,BP-1,C,available,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
histo_2,histo-2,C,available,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,1800,pass,measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
