paper_id,paper_name,paper_type,availability_status,phase_mapping_status,local_path,local_binary,local_data_path,recommended_action
bp_2,BP-2,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
bfs,bfs,M,available,approximate,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data/tiny_graph.txt,ready_for_w3_dryrun_and_short_smoke
histo_1,histo-1,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
histo_3,histo-3,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
kmeans_1,kmeans-1,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
lbm,lbm,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm,,,build_or_import_binary
leuko_1,leuko-1,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,build_or_import_binary
mrig_1,mrig-1,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,build_or_import_binary
mrig_2,mrig-2,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,build_or_import_binary
mummer,mummer,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,,,build_or_import_binary
