paper_id,paper_name,paper_type,availability_status,wrapper_path,wrapper_status,build_required,build_command,run_working_dir,run_command,input_size,timeout_sec,dry_run_status,notes
bp_2,BP-2,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,placeholder_phase_unknown,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,300,pass,Local backprop app exists but BP-2 phase mapping is unresolved
bfs,bfs,M,available,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_bfs,tiny,300,pass,Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,placeholder_phase_unknown,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,Local histo app exists but histo-1 phase mapping is unresolved
histo_3,histo-3,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,placeholder_phase_unknown,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,Local histo app exists but histo-3 phase mapping is unresolved
kmeans_1,kmeans-1,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,placeholder_phase_unknown,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_kmeans,tiny,300,pass,Local kmeans app exists but kmeans-1 phase mapping is unresolved
lbm,lbm,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_missing_binary,no,,,,,1200,pass,Raw Parboil lbm source exists but no local runnable wrapper or binary
leuko_1,leuko-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_missing_binary,no,,,,,1200,pass,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
mrig_1,mrig-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_missing_binary,no,,,,,1200,pass,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mrig_2,mrig-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_missing_binary,no,,,,,1200,pass,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mummer,mummer,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_missing_binary,no,,,,,1200,pass,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary
