paper_id,paper_name,phase_mapping_status_w18,phase_mapping_confidence_w18,local_launch_index,local_kernel_name,measurement_scope,evidence,notes
bp_2,BP-2,mapped_by_launch_order,inferred_order,2,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,app_run_inferred_phase,paper_id trace has 2 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
bfs,bfs,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Rodinia BFS tiny wrapper
histo_1,histo-1,mapped_by_launch_order,inferred_order,1,_Z20histo_prescan_kernelPjiS_,app_run_inferred_phase,paper_id trace has 4 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
histo_3,histo-3,mapped_by_launch_order,inferred_order,3,_Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_,app_run_inferred_phase,paper_id trace has 4 begin lines; suffix index 3 selected,Proposed mapping only; requires GPT review before canonical manifest update.
kmeans_1,kmeans-1,mapped_by_launch_order,inferred_order,1,_Z14invert_mappingPfS_ii,app_run_inferred_phase,paper_id trace has 5 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
lbm,lbm,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_1,leuko-1,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_1,mrig-1,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_2,mrig-2,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mummer,mummer,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
particle,particle,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sad_2,sad-2,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
spmv,spmv,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Parboil SpMV tiny wrapper
srad_1,srad-1,mapped_by_launch_order,inferred_order,1,_Z11srad_cuda_1PfS_S_S_S_S_iif,app_run_inferred_phase,paper_id trace has 2 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
srad_2,srad-2,mapped_by_launch_order,inferred_order,2,_Z11srad_cuda_2PfS_S_S_S_S_iiff,app_run_inferred_phase,paper_id trace has 2 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
bp_1,BP-1,mapped_by_launch_order,inferred_order,1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,app_run_inferred_phase,paper_id trace has 2 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
cutcp,cutcp,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
histo_2,histo-2,mapped_by_launch_order,inferred_order,2,_Z26histo_intermediates_kernelP5uint2jjjP6uchar4,app_run_inferred_phase,paper_id trace has 4 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
histogram,histogram,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,No local histogram source or wrapper; W17A found no complete local source
kmeans_2,kmeans-2,mapped_by_launch_order,inferred_order,2,_Z11kmeansPointPfiiiPiS_S_S0_,app_run_inferred_phase,paper_id trace has 5 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
lavamd,lavaMD,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_2,leuko-2,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_3,leuko-3,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mri_q,mri-q,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Parboil mri-q tiny wrapper
mrig_3,mrig-3,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
pathfinder,pathfinder,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Rodinia pathfinder tiny wrapper
sad_1,sad-1,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sgemm,sgemm,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Parboil SGEMM tiny wrapper
stencil,stencil,inferred,not_w18_target,,,app_run_unmapped,not in W17 app_level_pending_kernel_trace target set,Local Parboil stencil tiny wrapper
tpacf,tpacf,unavailable,not_w18_target,,,unavailable,not in W17 app_level_pending_kernel_trace target set,Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
