paper_id,paper_name,paper_type,config_id,result_status,correctness_status,cycles,ipc,baseline_cycles,speedup_vs_baseline,m1_l1sat_active,m2_active,m3_active,m4_active,m2_mp_cycles,m2_owner_acquire,m3_attempt,m3_hit,m3_nack,m4_enqueue_success,m4_retry_attempt,m4_retry_hit,m4_retry_nack,phase_mapping_confidence_w18,measurement_scope,notes
bp_2,BP-2,M,baseline_off,completed_no_explicit_pass,stats_only_not_correctness_pass,6911,42.2654,6911,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
bp_2,BP-2,M,m2_owner_sched,completed_no_explicit_pass,stats_only_not_correctness_pass,6918,42.2226,6911,0.998988,1,1,0,0,525,16,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
bp_2,BP-2,M,m3_hitonly_nack,completed_no_explicit_pass,stats_only_not_correctness_pass,6918,42.2226,6911,0.998988,1,1,0,0,525,16,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
bp_2,BP-2,M,m4_reexec_load,completed_no_explicit_pass,stats_only_not_correctness_pass,6915,42.2409,6911,0.999422,1,1,0,1,533,149,0,0,0,51,184,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
bfs,bfs,M,baseline_off,completed_no_explicit_pass,stats_only_not_correctness_pass,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,not_w18_target,app_run_unmapped,app-run level; not strict paper per-kernel phase
bfs,bfs,M,m2_owner_sched,completed_no_explicit_pass,stats_only_not_correctness_pass,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,not_w18_target,app_run_unmapped,app-run level; not strict paper per-kernel phase
bfs,bfs,M,m3_hitonly_nack,completed_no_explicit_pass,stats_only_not_correctness_pass,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,not_w18_target,app_run_unmapped,app-run level; not strict paper per-kernel phase
bfs,bfs,M,m4_reexec_load,completed_no_explicit_pass,stats_only_not_correctness_pass,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,not_w18_target,app_run_unmapped,app-run level; not strict paper per-kernel phase
histo_1,histo-1,M,baseline_off,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_1,histo-1,M,m2_owner_sched,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_1,histo-1,M,m3_hitonly_nack,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_1,histo-1,M,m4_reexec_load,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_3,histo-3,M,baseline_off,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_3,histo-3,M,m2_owner_sched,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_3,histo-3,M,m3_hitonly_nack,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
histo_3,histo-3,M,m4_reexec_load,completed_explicit_pass,explicit_pass,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
kmeans_1,kmeans-1,M,baseline_off,completed_no_explicit_pass,stats_only_not_correctness_pass,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
kmeans_1,kmeans-1,M,m2_owner_sched,completed_no_explicit_pass,stats_only_not_correctness_pass,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
kmeans_1,kmeans-1,M,m3_hitonly_nack,completed_no_explicit_pass,stats_only_not_correctness_pass,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,inferred_order,app_run_inferred_phase,app-run level; not strict paper per-kernel phase
