phase,suite_id,app_id,benchmark_name,attempt_round,strategy,work_dir,command,exit_code,timeout,log_path,result_status,binary_candidates,binary_ready,blocker_before,blocker_after,notes
W21C,rodinia,rodinia_bplustree,b+tree,round1,dependency_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,"ldconfig -p | grep -E ""libcuda|libcudart"" || true; ls -l /usr/local/cuda/lib64/libcudart.so /usr/local/cuda/targets/x86_64-linux/lib/libcudart.so 2>/dev/null || true; find . -maxdepth 3 -type f -perm -111 | sed -n ""1,40p""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_bplustree_round1_dependency_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b+tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b_tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/run,3,command/data not normalized in workload manifest,binary_ready,probe libcuda/libcudart and local executable candidates
W21C,rodinia,rodinia_bplustree,b+tree,round2,binary_ldd_or_candidate_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,ldd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp || true,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_bplustree_round2_binary_ldd_or_candidate_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b+tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b_tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/run,3,command/data not normalized in workload manifest,binary_ready,probe executable runtime dependencies
W21C,rodinia,rodinia_cfd,cfd,round1,dependency_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,"ldconfig -p | grep -E ""libcuda|libcudart"" || true; ls -l /usr/local/cuda/lib64/libcudart.so /usr/local/cuda/targets/x86_64-linux/lib/libcudart.so 2>/dev/null || true; find . -maxdepth 3 -type f -perm -111 | sed -n ""1,40p""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_cfd_round1_dependency_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile_nvidia;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/README,4,no verified executable binary,binary_ready,probe libcuda/libcudart and local executable candidates
W21C,rodinia,rodinia_cfd,cfd,round2,binary_ldd_or_candidate_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,ldd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile || true,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_cfd_round2_binary_ldd_or_candidate_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile_nvidia;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/README,4,no verified executable binary,binary_ready,probe executable runtime dependencies
W21C,rodinia,rodinia_dwt2d,dwt2d,round1,dependency_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,"ldconfig -p | grep -E ""libcuda|libcudart"" || true; ls -l /usr/local/cuda/lib64/libcudart.so /usr/local/cuda/targets/x86_64-linux/lib/libcudart.so 2>/dev/null || true; find . -maxdepth 3 -type f -perm -111 | sed -n ""1,40p""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_dwt2d_round1_dependency_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt2d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/result.txt;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/autorun.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/run.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt_kernel.c.copy,5,no verified executable binary,binary_ready,probe libcuda/libcudart and local executable candidates
W21C,rodinia,rodinia_dwt2d,dwt2d,round2,binary_ldd_or_candidate_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,ldd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/result.txt || true,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_dwt2d_round2_binary_ldd_or_candidate_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt2d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/result.txt;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/autorun.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/run.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt_kernel.c.copy,5,no verified executable binary,binary_ready,probe executable runtime dependencies
W21C,rodinia,rodinia_gaussian,gaussian,round1,dependency_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,"ldconfig -p | grep -E ""libcuda|libcudart"" || true; ls -l /usr/local/cuda/lib64/libcudart.so /usr/local/cuda/targets/x86_64-linux/lib/libcudart.so 2>/dev/null || true; find . -maxdepth 3 -type f -perm -111 | sed -n ""1,40p""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_gaussian_round1_dependency_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/run,1,W19 smoke failed: nonzero_no_stats,binary_ready,probe libcuda/libcudart and local executable candidates
W21C,rodinia,rodinia_gaussian,gaussian,round2,binary_ldd_or_candidate_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,ldd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/run || true,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_gaussian_round2_binary_ldd_or_candidate_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/run,1,W19 smoke failed: nonzero_no_stats,binary_ready,probe executable runtime dependencies
W21C,rodinia,rodinia_heartwall,heartwall,round1,dependency_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,"ldconfig -p | grep -E ""libcuda|libcudart"" || true; ls -l /usr/local/cuda/lib64/libcudart.so /usr/local/cuda/targets/x86_64-linux/lib/libcudart.so 2>/dev/null || true; find . -maxdepth 3 -type f -perm -111 | sed -n ""1,40p""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_heartwall_round1_dependency_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/run,3,command/data not normalized in workload manifest,binary_ready,probe libcuda/libcudart and local executable candidates
W21C,rodinia,rodinia_heartwall,heartwall,round2,binary_ldd_or_candidate_probe,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,ldd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall || true,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21C_rodinia_heartwall_round2_binary_ldd_or_candidate_probe.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/run,3,command/data not normalized in workload manifest,binary_ready,probe executable runtime dependencies
