suite_workload_id,suite,benchmark,availability_status,classification
rodinia_backprop,rodinia,backprop,ready_existing_manifest,dry_run_ready
rodinia_bfs,rodinia,bfs,ready_existing_manifest,dry_run_ready
rodinia_gaussian,rodinia,gaussian,ready_build_recovered_candidate,dry_run_ready
rodinia_hotspot,rodinia,hotspot,ready_existing_manifest,dry_run_ready
rodinia_kmeans,rodinia,kmeans,ready_existing_manifest,dry_run_ready
rodinia_lud,rodinia,lud,ready_existing_manifest,dry_run_ready
rodinia_myocyte,rodinia,myocyte,ready_build_recovered_candidate,dry_run_ready
rodinia_nn,rodinia,nn,ready_build_recovered_candidate,dry_run_ready
rodinia_nw,rodinia,nw,ready_existing_manifest,dry_run_ready
rodinia_pathfinder,rodinia,pathfinder,ready_existing_manifest,dry_run_ready
rodinia_srad,rodinia,srad,ready_existing_manifest,dry_run_ready
rodinia_streamcluster,rodinia,streamcluster,ready_build_recovered_candidate,dry_run_ready
parboil_histo,parboil,histo,ready_existing_manifest,dry_run_ready
parboil_mri_q,parboil,mri-q,ready_existing_manifest,dry_run_ready
parboil_sgemm,parboil,sgemm,ready_existing_manifest,dry_run_ready
parboil_spmv,parboil,spmv,ready_existing_manifest,dry_run_ready
parboil_stencil,parboil,stencil,ready_existing_manifest,dry_run_ready
