suite,suite_workload_id,benchmark,binary_path,binary_exists,binary_executable,recovery_status,notes
rodinia,rodinia_bplustree,b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_backprop,backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,1,1,ready_existing_manifest,
rodinia,rodinia_bfs,bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,1,1,ready_existing_manifest,
rodinia,rodinia_cfd,cfd,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_dwt2d,dwt2d,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_gaussian,gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_heartwall,heartwall,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_hotspot,hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,1,1,ready_existing_manifest,
rodinia,rodinia_hotspot3D,hotspot3D,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_huffman,huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_hybridsort,hybridsort,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_kmeans,kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,1,1,ready_existing_manifest,
rodinia,rodinia_lavaMD,lavaMD,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_leukocyte,leukocyte,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_lud,lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,1,1,ready_existing_manifest,
rodinia,rodinia_mummergpu,mummergpu,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_myocyte,myocyte,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/myocyte.out,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_nn,nn,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/nn,1,1,binary_ready,command/data not normalized in workload manifest
rodinia,rodinia_nw,nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,1,1,ready_existing_manifest,
rodinia,rodinia_particlefilter,particlefilter,,0,0,missing_binary,no verified executable binary
rodinia,rodinia_pathfinder,pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,1,1,ready_existing_manifest,
rodinia,rodinia_srad,srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,1,1,ready_existing_manifest,
rodinia,rodinia_streamcluster,streamcluster,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/sc_gpu,1,1,binary_ready,command/data not normalized in workload manifest
parboil,parboil_bfs,bfs,,0,0,missing_binary,no verified executable binary
parboil,parboil_cp,cp,,0,0,missing_binary,no verified executable binary
parboil,parboil_cutcp,cutcp,,0,0,missing_binary,no verified executable binary
parboil,parboil_fft,fft,,0,0,missing_binary,no verified executable binary
parboil,parboil_histo,histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,1,1,ready_existing_manifest,
parboil,parboil_imghisto,imghisto,,0,0,missing_binary,no verified executable binary
parboil,parboil_lbm,lbm,,0,0,missing_binary,no verified executable binary
parboil,parboil_mri_fhd,mri-fhd,,0,0,missing_binary,no verified executable binary
parboil,parboil_mri_gridding,mri-gridding,,0,0,missing_binary,no verified executable binary
parboil,parboil_mri_q,mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,1,1,ready_existing_manifest,
parboil,parboil_pns,pns,,0,0,missing_binary,no verified executable binary
parboil,parboil_rpes,rpes,,0,0,missing_binary,no verified executable binary
parboil,parboil_sad,sad,,0,0,missing_binary,no verified executable binary
parboil,parboil_sgemm,sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,1,1,ready_existing_manifest,
parboil,parboil_simple_mm,simple_mm,,0,0,missing_binary,no verified executable binary
parboil,parboil_spmv,spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,1,1,ready_existing_manifest,
parboil,parboil_stencil,stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,1,1,ready_existing_manifest,
parboil,parboil_tpacf,tpacf,,0,0,missing_binary,no verified executable binary
