suite,suite_workload_id,benchmark,data_path,data_exists,data_file_count,data_status,notes
rodinia,rodinia_bplustree,b+tree,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_backprop,backprop,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_bfs,bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,1,1,data_available,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_cfd,cfd,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_dwt2d,dwt2d,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_gaussian,gaussian,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_heartwall,heartwall,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_hotspot,hotspot,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_hotspot3D,hotspot3D,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_huffman,huffman,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_hybridsort,hybridsort,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_kmeans,kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,1,1,data_available,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_lavaMD,lavaMD,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_leukocyte,leukocyte,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_lud,lud,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_mummergpu,mummergpu,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/data,1,7,data_available,try W19B build/recovery rounds
rodinia,rodinia_myocyte,myocyte,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_nn,nn,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
rodinia,rodinia_nw,nw,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_particlefilter,particlefilter,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
rodinia,rodinia_pathfinder,pathfinder,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_srad,srad,,0,0,missing_or_unverified_data,dry-run and smoke through W19C/W19D wrapper
rodinia,rodinia_streamcluster,streamcluster,,0,0,missing_or_unverified_data,derive small input command and promote after smoke
parboil,parboil_bfs,bfs,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_cp,cp,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_cutcp,cutcp,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_fft,fft,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_histo,histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,1,1,data_available,dry-run and smoke through W19C/W19D wrapper
parboil,parboil_imghisto,imghisto,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_lbm,lbm,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_mri_fhd,mri-fhd,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_mri_gridding,mri-gridding,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_mri_q,mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,1,1,data_available,dry-run and smoke through W19C/W19D wrapper
parboil,parboil_pns,pns,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_rpes,rpes,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_sad,sad,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_sgemm,sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/data,1,3,data_available,dry-run and smoke through W19C/W19D wrapper
parboil,parboil_simple_mm,simple_mm,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
parboil,parboil_spmv,spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/data,1,2,data_available,dry-run and smoke through W19C/W19D wrapper
parboil,parboil_stencil,stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data,1,1,data_available,dry-run and smoke through W19C/W19D wrapper
parboil,parboil_tpacf,tpacf,,0,0,missing_or_unverified_data,try W19B build/recovery rounds
