suite_id,app_id,benchmark_name,attempt_round,strategy,candidate_command,exit_code,timeout,log_path,dry_run_status,smoke_status,blocker_after,notes
rodinia,rodinia_bplustree,b+tree,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree && source /workspace/repos/load_gpgpusim.sh && ./penmp --help,126,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_bplustree_round1_command_probe_1.log,fail,fail,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_bplustree,b+tree,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_bplustree_round2_command_probe_2.log,pass,unavailable_exit_77,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_cfd,cfd,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd && source /workspace/repos/load_gpgpusim.sh && ./README --help,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_cfd_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_cfd,cfd,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_cfd_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_dwt2d,dwt2d,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d && source /workspace/repos/load_gpgpusim.sh && ./result.txt --help,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_dwt2d_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_dwt2d,dwt2d,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_dwt2d_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_gaussian,gaussian,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_gaussian_round1_command_probe_1.log,pass,pass,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_gaussian,gaussian,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_gaussian_round2_command_probe_2.log,pass,unavailable_exit_77,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_heartwall,heartwall,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall && source /workspace/repos/load_gpgpusim.sh && ./heartwall --help,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_heartwall_round1_command_probe_1.log,fail,fail,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_heartwall,heartwall,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_heartwall_round2_command_probe_2.log,pass,unavailable_exit_77,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
