phase,suite_id,app_id,benchmark_name,attempt_round,strategy,work_dir,command,exit_code,timeout,log_path,result_status,binary_candidates,binary_ready,blocker_before,blocker_after,notes
W21A,parboil,parboil_bfs,bfs,round1,python3_driver_compile,/workspace/repos/gpgpu-workloads/suites/parboil,python3 ./parboil compile bfs cuda default,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_bfs_round1_python3_driver_compile.log,fail,,0,no verified executable binary,fail,attempt python3 on legacy parboil driver
W21A,parboil,parboil_bfs,bfs,round2,direct_make_cuda_or_base,/workspace/repos/gpgpu-workloads/suites/parboil,mkdir -p /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/build/cuda_default && make -f /workspace/repos/gpgpu-workloads/suites/parboil/common/mk/Makefile build SRCDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/src/cuda BUILDDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/build/cuda_default BIN=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs/build/cuda_default/bfs PLATFORM=default PARBOIL_ROOT=/workspace/repos/gpgpu-workloads/suites/parboil BUILD=cuda,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_bfs_round2_direct_make_cuda_or_base.log,fail,,0,no verified executable binary,fail,bypass python2 driver using documented make variables
W21A,parboil,parboil_cp,cp,round1,python3_driver_compile,/workspace/repos/gpgpu-workloads/suites/parboil,python3 ./parboil compile cp cuda default,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_cp_round1_python3_driver_compile.log,fail,,0,no verified executable binary,fail,attempt python3 on legacy parboil driver
W21A,parboil,parboil_cp,cp,round2,direct_make_cuda_or_base,/workspace/repos/gpgpu-workloads/suites/parboil,mkdir -p /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_default && make -f /workspace/repos/gpgpu-workloads/suites/parboil/common/mk/Makefile build SRCDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/src/cuda BUILDDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_default BIN=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_default/cp PLATFORM=default PARBOIL_ROOT=/workspace/repos/gpgpu-workloads/suites/parboil BUILD=cuda,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_cp_round2_direct_make_cuda_or_base.log,fail,,0,no verified executable binary,fail,bypass python2 driver using documented make variables
W21A,parboil,parboil_cutcp,cutcp,round1,python3_driver_compile,/workspace/repos/gpgpu-workloads/suites/parboil,python3 ./parboil compile cutcp cuda default,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_cutcp_round1_python3_driver_compile.log,fail,,0,no verified executable binary,fail,attempt python3 on legacy parboil driver
W21A,parboil,parboil_cutcp,cutcp,round2,direct_make_cuda_or_base,/workspace/repos/gpgpu-workloads/suites/parboil,mkdir -p /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_default && make -f /workspace/repos/gpgpu-workloads/suites/parboil/common/mk/Makefile build SRCDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda BUILDDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_default BIN=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_default/cutcp PLATFORM=default PARBOIL_ROOT=/workspace/repos/gpgpu-workloads/suites/parboil BUILD=cuda,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_cutcp_round2_direct_make_cuda_or_base.log,fail,,0,no verified executable binary,fail,bypass python2 driver using documented make variables
W21A,parboil,parboil_fft,fft,round1,python3_driver_compile,/workspace/repos/gpgpu-workloads/suites/parboil,python3 ./parboil compile fft cuda default,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_fft_round1_python3_driver_compile.log,fail,,0,no verified executable binary,fail,attempt python3 on legacy parboil driver
W21A,parboil,parboil_fft,fft,round2,direct_make_cuda_or_base,/workspace/repos/gpgpu-workloads/suites/parboil,mkdir -p /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/build/cuda_default && make -f /workspace/repos/gpgpu-workloads/suites/parboil/common/mk/Makefile build SRCDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/src/cuda BUILDDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/build/cuda_default BIN=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft/build/cuda_default/fft PLATFORM=default PARBOIL_ROOT=/workspace/repos/gpgpu-workloads/suites/parboil BUILD=cuda,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_fft_round2_direct_make_cuda_or_base.log,fail,,0,no verified executable binary,fail,bypass python2 driver using documented make variables
W21A,parboil,parboil_imghisto,imghisto,round1,python3_driver_compile,/workspace/repos/gpgpu-workloads/suites/parboil,python3 ./parboil compile imghisto cuda default,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_imghisto_round1_python3_driver_compile.log,fail,,0,no verified executable binary,fail,attempt python3 on legacy parboil driver
W21A,parboil,parboil_imghisto,imghisto,round2,direct_make_cuda_or_base,/workspace/repos/gpgpu-workloads/suites/parboil,mkdir -p /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/build/cuda_default && make -f /workspace/repos/gpgpu-workloads/suites/parboil/common/mk/Makefile build SRCDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/src/cuda BUILDDIR=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/build/cuda_default BIN=/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/build/cuda_default/imghisto PLATFORM=default PARBOIL_ROOT=/workspace/repos/gpgpu-workloads/suites/parboil BUILD=cuda,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21A_parboil_imghisto_round2_direct_make_cuda_or_base.log,fail,,0,no verified executable binary,fail,bypass python2 driver using documented make variables
