app_id,app_name,suite_id,benchmark_name,current_ready,wrapper_status,availability_status,run_command,source_path,binary_path,data_path,input_scale,default_timeout_sec,blocker,next_action,notes
rodinia_bplustree,rodinia_bplustree,rodinia,b+tree,0,placeholder_unavailable,binary_available_command_unverified,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,unknown,unknown,1800,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_backprop,rodinia_backprop,rodinia,backprop,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_bfs,rodinia_bfs,rodinia,bfs,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_cfd,rodinia_cfd,rodinia,cfd,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_dwt2d,rodinia_dwt2d,rodinia,dwt2d,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_gaussian,rodinia_gaussian,rodinia,gaussian,0,placeholder_unavailable,failed_smoke,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian && source /workspace/repos/load_gpgpusim.sh && ./gaussian -s 16,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian,unknown,tiny,900,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_heartwall,rodinia_heartwall,rodinia,heartwall,0,placeholder_unavailable,binary_available_command_unverified,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall,unknown,unknown,1800,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_hotspot,rodinia_hotspot,rodinia,hotspot,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_hotspot3D,rodinia_hotspot3D,rodinia,hotspot3D,0,placeholder_unavailable,binary_available_command_unverified,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D,unknown,unknown,1800,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_huffman,rodinia_huffman,rodinia,huffman,0,placeholder_unavailable,binary_available_command_unverified,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,unknown,unknown,1800,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_hybridsort,rodinia_hybridsort,rodinia,hybridsort,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
