suite_id,app_id,benchmark_name,availability_before,w21_status,build_pass_count,command_candidate_pass_count,data_probe_available_count,new_binary_paths,blocker_after,next_action
rodinia,rodinia_bplustree,b+tree,binary_available_command_unverified,still_unavailable,0,0,1,,command/data not normalized in workload manifest,derive small input command and promote after smoke
rodinia,rodinia_cfd,cfd,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_dwt2d,dwt2d,source_available_missing_binary,binary_or_dependency_probe_passed_command_unverified,1,0,1,,command_or_data_unverified,normalize command/data and smoke
rodinia,rodinia_gaussian,gaussian,failed_smoke,binary_or_dependency_probe_passed_command_unverified,1,0,1,,command_or_data_unverified,normalize command/data and smoke
rodinia,rodinia_heartwall,heartwall,binary_available_command_unverified,binary_or_dependency_probe_passed_command_unverified,2,0,1,,command_or_data_unverified,normalize command/data and smoke
rodinia,rodinia_hotspot3D,hotspot3D,binary_available_command_unverified,still_unavailable,0,0,1,,command/data not normalized in workload manifest,derive small input command and promote after smoke
rodinia,rodinia_hybridsort,hybridsort,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_lavaMD,lavaMD,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_leukocyte,leukocyte,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_mummergpu,mummergpu,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_myocyte,myocyte,failed_smoke,binary_or_dependency_probe_passed_command_unverified,2,0,1,,command_or_data_unverified,normalize command/data and smoke
rodinia,rodinia_nn,nn,failed_smoke,binary_or_dependency_probe_passed_command_unverified,1,0,1,,command_or_data_unverified,normalize command/data and smoke
rodinia,rodinia_particlefilter,particlefilter,source_available_missing_binary,still_unavailable,0,0,1,,no verified executable binary,try W19B build/recovery rounds
rodinia,rodinia_streamcluster,streamcluster,failed_smoke,binary_or_dependency_probe_passed_command_unverified,2,0,1,,command_or_data_unverified,normalize command/data and smoke
parboil,parboil_bfs,bfs,source_available_missing_binary,binary_or_dependency_probe_passed_command_unverified,1,0,0,,command_or_data_unverified,normalize command/data and smoke
parboil,parboil_cp,cp,source_available_missing_binary,binary_recovered_command_data_unverified,2,0,0,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_base_w21fix2/cp;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp/build/cuda_w21fix2/cp,missing_or_unverified_data_and_run_command,create tiny dataset/args and run collector smoke
parboil,parboil_cutcp,cutcp,source_available_missing_binary,binary_recovered_command_data_unverified,2,0,0,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_base_w21fix2/cutcp;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/build/cuda_w21fix2/cutcp,missing_or_unverified_data_and_run_command,create tiny dataset/args and run collector smoke
parboil,parboil_fft,fft,source_available_missing_binary,parboil_build_unresolved,0,0,0,,python2_driver_or_cuda11_source_compat_or_missing_data,"port driver to python3 or patch source-specific CUDA errors, then add datasets"
parboil,parboil_imghisto,imghisto,source_available_missing_binary,parboil_build_unresolved,0,0,0,,python2_driver_or_cuda11_source_compat_or_missing_data,"port driver to python3 or patch source-specific CUDA errors, then add datasets"
parboil,parboil_lbm,lbm,source_available_missing_binary,binary_recovered_command_data_unverified,2,0,0,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/build/cuda_base_w21fix2/lbm;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/build/cuda_w21fix2/lbm,missing_or_unverified_data_and_run_command,create tiny dataset/args and run collector smoke
parboil,parboil_mri_fhd,mri-fhd,source_available_missing_binary,parboil_build_unresolved,0,0,0,,python2_driver_or_cuda11_source_compat_or_missing_data,"port driver to python3 or patch source-specific CUDA errors, then add datasets"
parboil,parboil_mri_gridding,mri-gridding,source_available_missing_binary,binary_recovered_command_data_unverified,2,0,0,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/build/cuda_base_w21fix2/mri-gridding;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/build/cuda_w21fix2/mri-gridding,missing_or_unverified_data_and_run_command,create tiny dataset/args and run collector smoke
parboil,parboil_pns,pns,source_available_missing_binary,binary_recovered_command_data_unverified,2,0,0,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/build/cuda_base_w21fix2/pns;/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/build/cuda_w21fix2/pns,missing_or_unverified_data_and_run_command,create tiny dataset/args and run collector smoke
