phase,suite_id,app_id,benchmark_name,attempt_round,strategy,work_dir,command,exit_code,timeout,log_path,result_status,binary_candidates,binary_ready,blocker_before,blocker_after,notes
W21B,rodinia,rodinia_bplustree,b+tree,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_bplustree_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b+tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b_tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/run,3,command/data not normalized in workload manifest,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_bplustree,b+tree,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_bplustree_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b+tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/b_tree;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/run,3,command/data not normalized in workload manifest,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_cfd,cfd,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_cfd_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile_nvidia;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/README,4,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_cfd,cfd,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_cfd_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/pre_euler3d_double;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile_nvidia;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/README,4,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_dwt2d,dwt2d,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_dwt2d_round1_rodinia_make_sm70_vars.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt2d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/result.txt;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/autorun.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/run.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt_kernel.c.copy,6,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_dwt2d,dwt2d,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_dwt2d_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt2d;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/result.txt;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/autorun.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/run.sh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/dwt_kernel.c.copy,5,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_gaussian,gaussian,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_gaussian_round1_rodinia_make_sm70_vars.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/run,2,W19 smoke failed: nonzero_no_stats,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_gaussian,gaussian,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_gaussian_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/run,1,W19 smoke failed: nonzero_no_stats,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_heartwall,heartwall,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_heartwall_round1_rodinia_make_sm70_vars.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/run,3,command/data not normalized in workload manifest,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_heartwall,heartwall,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_heartwall_round2_rodinia_make_cuda_paths.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/run,3,command/data not normalized in workload manifest,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_hotspot3D,hotspot3D,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_hotspot3D_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/run,3,command/data not normalized in workload manifest,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_hotspot3D,hotspot3D,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_hotspot3D_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/run,3,command/data not normalized in workload manifest,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_huffman,huffman,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_huffman_round1_rodinia_make_sm70_vars.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/huffman;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/run,3,command/data not normalized in workload manifest,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_huffman,huffman,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_huffman_round2_rodinia_make_cuda_paths.log,pass,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/huffman;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/run,3,command/data not normalized in workload manifest,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_hybridsort,hybridsort,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_hybridsort_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/hybridsort;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/bucketsort.cuh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/mergesort.cuh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/cuda.rules;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/README,5,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_hybridsort,hybridsort,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_hybridsort_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/hybridsort;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/bucketsort.cuh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/mergesort.cuh;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/cuda.rules;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/README,5,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_lavaMD,lavaMD,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_lavaMD_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/lavaMD;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/a.out;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/README;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/makefile,3,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_lavaMD,lavaMD,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_lavaMD_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/lavaMD;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/a.out;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/README;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/makefile,3,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_leukocyte,leukocyte,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_leukocyte_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/CUDA/leukocyte;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/leukocyte;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/run,2,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_leukocyte,leukocyte,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_leukocyte_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/CUDA/leukocyte;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/leukocyte;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/run,2,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
W21B,rodinia,rodinia_mummergpu,mummergpu,round1,rodinia_make_sm70_vars,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,"make clean >/dev/null 2>&1 || true; make NVCCFLAGS=""-arch=sm_70 -allow-unsupported-compiler"" CUDA_FLAG=""-arch=sm_70 -allow-unsupported-compiler"" KERNEL_DIM=""""",2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_mummergpu_round1_rodinia_make_sm70_vars.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/mummergpu;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/MUMmerGPU;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/COPYING;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/README,4,no verified executable binary,binary_ready,override common CUDA arch variables
W21B,rodinia,rodinia_mummergpu,mummergpu,round2,rodinia_make_cuda_paths,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,make clean >/dev/null 2>&1 || true; make CUDA_DIR=/usr/local/cuda CUDA_INSTALL_PATH=/usr/local/cuda CXX=g++ CC=gcc NVCC=/usr/local/cuda/bin/nvcc,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162504/W21B_rodinia_mummergpu_round2_rodinia_make_cuda_paths.log,fail,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/mummergpu;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/MUMmerGPU;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/Makefile;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/COPYING;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/run;/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/README,4,no verified executable binary,binary_ready,explicit CUDA path/toolchain build
