suite,suite_workload_id,benchmark,source_dir,source_exists,cuda_source_count,makefile_path,wrapper_dir,wrapper_exists,binary_path,binary_exists,binary_executable,data_path,data_exists,data_file_count,existing_manifest_app,existing_manifest_status,run_command,availability_status,blocker,next_action,notes
parboil,parboil_bfs,bfs,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_cp,cp,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_cutcp,cutcp,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,1,2,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_fft,fft,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft,1,2,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_histo,histo,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/histo,1,12,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,1,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,1,1,parboil_histo,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_imghisto,imghisto,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_lbm,lbm,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_mri_fhd,mri-fhd,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_mri_gridding,mri-gridding,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,1,10,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_mri_q,mri-q,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-q,1,2,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,1,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,1,1,parboil_mri_q,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q && source /workspace/repos/load_gpgpusim.sh && ./mri-q -i data/tiny.bin 32,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_pns,pns,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns,1,3,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_rpes,rpes,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_sad,sad,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,1,6,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_sgemm,sgemm,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sgemm,1,4,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,1,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/data,1,3,parboil_sgemm,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_simple_mm,simple_mm,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm,1,2,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_spmv,spmv,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/spmv,1,8,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,1,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/data,1,2,parboil_spmv,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_stencil,stencil,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/stencil,1,6,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,1,1,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data,1,1,parboil_stencil,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil && source /workspace/repos/load_gpgpusim.sh && ./stencil -i data/tiny.bin 8 8 8 1,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,parboil_tpacf,tpacf,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf,1,4,,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
