run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/baseline_off/spmv","600","0","0","completed_exit0","2026-06-05T01:20:03+08:00","2026-06-05T01:25:17+08:00","314","W8 focused sweep; w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed"
"baseline_off__mri_q","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/baseline_off/mri_q","600","0","0","completed_exit0","2026-06-05T01:25:17+08:00","2026-06-05T01:25:27+08:00","10","W8 focused sweep; w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed"
"baseline_off__pathfinder","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/baseline_off/pathfinder","600","0","0","completed_exit0","2026-06-05T01:25:27+08:00","2026-06-05T01:26:45+08:00","78","W8 focused sweep; w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed"
"m2_owner_sched__spmv","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m2_owner_sched/spmv","600","0","0","completed_exit0","2026-06-05T01:26:45+08:00","2026-06-05T01:32:01+08:00","316","W8 focused sweep; w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed"
"m2_owner_sched__mri_q","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m2_owner_sched/mri_q","600","0","0","completed_exit0","2026-06-05T01:32:01+08:00","2026-06-05T01:32:11+08:00","10","W8 focused sweep; w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed"
"m2_owner_sched__pathfinder","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m2_owner_sched/pathfinder","600","0","0","completed_exit0","2026-06-05T01:32:11+08:00","2026-06-05T01:33:28+08:00","77","W8 focused sweep; w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed"
"m3_hitonly_nack__spmv","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m3_hitonly_nack/spmv","600","0","0","completed_exit0","2026-06-05T01:33:28+08:00","2026-06-05T01:38:44+08:00","316","W8 focused sweep; w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed"
"m3_hitonly_nack__mri_q","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m3_hitonly_nack/mri_q","600","0","0","completed_exit0","2026-06-05T01:38:44+08:00","2026-06-05T01:38:53+08:00","9","W8 focused sweep; w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed"
"m3_hitonly_nack__pathfinder","m3_hitonly_nack","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m3_hitonly_nack/pathfinder","600","0","0","completed_exit0","2026-06-05T01:38:53+08:00","2026-06-05T01:40:11+08:00","78","W8 focused sweep; w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed"
"m4_reexec_load__spmv","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","spmv","spmv","M","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m4_reexec_load/spmv","600","0","0","completed_exit0","2026-06-05T01:40:11+08:00","2026-06-05T01:45:26+08:00","315","W8 focused sweep; w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed"
"m4_reexec_load__mri_q","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","mri_q","mri-q","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m4_reexec_load/mri_q","600","0","0","completed_exit0","2026-06-05T01:45:26+08:00","2026-06-05T01:45:35+08:00","9","W8 focused sweep; w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed"
"m4_reexec_load__pathfinder","m4_reexec_load","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on","pathfinder","pathfinder","C","experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh","ready","experiments/paper-mascar/workloads/results/W8/w8_focused_actual_configfix/runs/m4_reexec_load/pathfinder","600","0","0","completed_exit0","2026-06-05T01:45:35+08:00","2026-06-05T01:46:53+08:00","78","W8 focused sweep; w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed"
