run_id,config_id,config_path,config_role,workload_id,paper_id,wrapper_path,selected_for_run,timeout_sec,expected_power_artifacts,notes
energy_baseline_off__bp_2,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,bp_2,bp_2,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_baseline_off__srad_1,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,srad_1,srad_1,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_baseline_off__bp_1,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,bp_1,bp_1,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_baseline_off__spmv,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,spmv,spmv,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_baseline_off__mri_q,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,mri_q,mri_q,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_baseline_off__pathfinder,energy_baseline_off,configs/hrl-repro/SM7_QV100_mascar_energy_baseline_off,energy_baseline,pathfinder,pathfinder,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__bp_2,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,bp_2,bp_2,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__srad_1,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,srad_1,srad_1,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__bp_1,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,bp_1,bp_1,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__spmv,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,spmv,spmv,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__mri_q,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,mri_q,mri_q,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
energy_m4_reexec_load__pathfinder,energy_m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_energy_m4_reexec_load_on,energy_m4,pathfinder,pathfinder,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,1,1800,accelwattch_power_report.log or power_artifacts/*power*,bounded W25F current-simulator energy rerun
