collector_field,raw_pattern,meaning,source,availability
kernel_avg_power,kernel_avg_power,Per-kernel average power,AccelWattch power report,available_when_power_enabled
kernel_max_power,kernel_max_power,Per-kernel maximum power,AccelWattch power report,available_when_power_enabled
kernel_min_power,kernel_min_power,Per-kernel minimum power,AccelWattch power report,available_when_power_enabled
gpu_tot_avg_power,gpu_tot_avg_power,Aggregate average power across reported kernels,AccelWattch power report,available_when_power_enabled
gpu_tot_max_power,gpu_tot_max_power,Aggregate maximum power across reported kernels,AccelWattch power report,available_when_power_enabled
gpu_tot_min_power,gpu_tot_min_power,Aggregate minimum power across reported kernels,AccelWattch power report,available_when_power_enabled
power_total_avg,gpu_tot_avg_power|kernel_avg_power,Normalized average power preference,collector,available_when_any_average_power_field_found
power_peak,gpu_tot_max_power|kernel_max_power,Normalized peak power preference,collector,available_when_any_peak_power_field_found
power_total_min,gpu_tot_min_power|kernel_min_power,Normalized minimum power preference,collector,available_when_any_min_power_field_found
energy_total,gpu_tot_energy|kernel_energy|total_energy,Direct total energy if future/current logs expose it,collector_candidate,not_found_in_W16A_audit
energy_dynamic,gpu_dynamic_energy|dynamic_energy,Direct dynamic energy if exposed,collector_candidate,not_found_in_W16A_audit
energy_leakage,gpu_leakage_energy|leakage_energy,Direct leakage energy if exposed,collector_candidate,not_found_in_W16A_audit
energy_dram,gpu_dram_energy|dram_energy,Direct DRAM energy if exposed,collector_candidate,not_found_in_W16A_audit
energy_l2,gpu_l2_energy|l2_energy,Direct L2 energy if exposed,collector_candidate,not_found_in_W16A_audit
energy_fields_found,synthetic,1 when any parsed power/energy field is present,collector,available
