paper_id,source_path,candidate_data,data_exists,data_status,notes
"lbm","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm","","0","data_missing","no local data directory found"
"leuko_1","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","data_missing","no local data directory found"
"mrig_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","data_missing","no local data directory found"
"mrig_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","data_missing","no local data directory found"
"mummer","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/data","1","data_found","local data directory found"
"particle","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","","0","data_missing","no local data directory found"
"sad_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","","0","data_missing","no local data directory found"
"cutcp","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp","","0","data_missing","no local data directory found"
"lavamd","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD","","0","data_missing","no local data directory found"
"leuko_2","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","data_missing","no local data directory found"
"leuko_3","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","data_missing","no local data directory found"
"mrig_3","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","data_missing","no local data directory found"
"sad_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","","0","data_missing","no local data directory found"
"tpacf","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf","","0","data_missing","no local data directory found"
