path,category,status,notes
experiments/framework_release/W26/w26_framework_component_audit.csv,csv,exists,W26 release artifact
experiments/framework_release/W26/w26_framework_gap_list.csv,csv,exists,W26 release artifact
docs/papers/mascar_w26a_framework_release_audit.md,doc,exists,W26 release artifact
docs/papers/mascar_w26b_templates_documentation_report.md,doc,exists,W26 release artifact
experiments/framework_release/W26/w26_validation_results.csv,csv,exists,W26 release artifact
experiments/framework_release/W26/w26_template_validation.csv,csv,exists,W26 release artifact
experiments/framework_release/W26/w26_tool_validation.csv,csv,exists,W26 release artifact
docs/papers/mascar_w26c_framework_validation_report.md,doc,exists,W26 release artifact
docs/papers/mascar_w26_paper_repro_framework_release.md,doc,exists,W26 release artifact
docs/papers/mascar_w25_w26_closeout_summary.md,doc,exists,W26 release artifact
experiments/framework_release/W26/w26_known_limitations.md,doc,exists,W26 release artifact
experiments/framework_release/W26/w26_next_steps.md,doc,exists,W26 release artifact
experiments/templates/status_taxonomy_template.csv,template,exists,W26 release artifact
experiments/templates/review_pack_manifest_template.csv,template,exists,W26 release artifact
experiments/templates/result_manifest_template.csv,template,exists,W26 release artifact
experiments/templates/paper_repro_report_template.md,template,exists,W26 release artifact
experiments/templates/postcheck_template.md,template,exists,W26 release artifact
experiments/templates/workload_manifest_template.csv,template,exists,W26 release artifact
experiments/templates/config_matrix_template.csv,template,exists,W26 release artifact
docs/reproduction/run_smoke.md,doc,exists,W26 release artifact
docs/reproduction/kernel_trace_phase_mapping.md,doc,exists,W26 release artifact
docs/reproduction/add_new_config_family.md,doc,exists,W26 release artifact
docs/reproduction/add_new_workload.md,doc,exists,W26 release artifact
docs/reproduction/collect_stats.md,doc,exists,W26 release artifact
docs/reproduction/run_full_sweep.md,doc,exists,W26 release artifact
docs/reproduction/energy_pipeline.md,doc,exists,W26 release artifact
docs/reproduction/nightly_codex_workflow.md,doc,exists,W26 release artifact
docs/reproduction/add_new_paper.md,doc,exists,W26 release artifact
docs/reproduction/status_taxonomy.md,doc,exists,W26 release artifact
docs/reproduction/raw_log_policy.md,doc,exists,W26 release artifact
