run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,gpgpusim_exit,result_status,result_pass
baseline_off__bp_2,baseline_off,bp_2,BP-2,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/bp_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__bfs,baseline_off,bfs,bfs,M,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/bfs,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_1,baseline_off,histo_1,histo-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histo_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_3,baseline_off,histo_3,histo-3,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histo_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__kmeans_1,baseline_off,kmeans_1,kmeans-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/kmeans_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__lbm,baseline_off,lbm,lbm,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/lbm,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__leuko_1,baseline_off,leuko_1,leuko-1,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/leuko_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mrig_1,baseline_off,mrig_1,mrig-1,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mrig_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mrig_2,baseline_off,mrig_2,mrig-2,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mrig_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mummer,baseline_off,mummer,mummer,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mummer,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
