run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__bp_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","placeholder_phase_unknown","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/bp_2","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Local backprop app exists but BP-2 phase mapping is unresolved"
"baseline_off__bfs","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/bfs","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Local Rodinia BFS tiny wrapper"
"baseline_off__histo_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_1","histo-1","M","experiments/paper-mascar/workloads/wrappers/run_histo_1.sh","placeholder_phase_unknown","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histo_1","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Local histo app exists but histo-1 phase mapping is unresolved"
"baseline_off__histo_3","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_3","histo-3","M","experiments/paper-mascar/workloads/wrappers/run_histo_3.sh","placeholder_phase_unknown","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histo_3","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Local histo app exists but histo-3 phase mapping is unresolved"
"baseline_off__kmeans_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","kmeans_1","kmeans-1","M","experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh","placeholder_phase_unknown","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/kmeans_1","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Local kmeans app exists but kmeans-1 phase mapping is unresolved"
"baseline_off__lbm","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","lbm","lbm","M","experiments/paper-mascar/workloads/wrappers/run_lbm.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/lbm","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Raw Parboil lbm source exists but no local runnable wrapper or binary"
"baseline_off__leuko_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","leuko_1","leuko-1","M","experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/leuko_1","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Raw Rodinia leukocyte source exists but no local runnable wrapper or binary"
"baseline_off__mrig_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","mrig_1","mrig-1","M","experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mrig_1","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Raw Parboil mri-gridding source exists but no local runnable wrapper or binary"
"baseline_off__mrig_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","mrig_2","mrig-2","M","experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mrig_2","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:03+08:00","0","Raw Parboil mri-gridding source exists but no local runnable wrapper or binary"
"baseline_off__mummer","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","mummer","mummer","M","experiments/paper-mascar/workloads/wrappers/run_mummer.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mummer","1200","0","0","completed_exit0","2026-06-04T20:26:03+08:00","2026-06-04T20:26:04+08:00","1","Raw Rodinia mummergpu source exists but no local runnable wrapper or binary"
"baseline_off__particle","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","particle","particle","M","experiments/paper-mascar/workloads/wrappers/run_particle.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/particle","1200","0","0","completed_exit0","2026-06-04T20:26:04+08:00","2026-06-04T20:26:04+08:00","0","Raw Rodinia particlefilter source exists but no local runnable wrapper or binary"
"baseline_off__sad_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","sad_2","sad-2","M","experiments/paper-mascar/workloads/wrappers/run_sad_2.sh","placeholder_missing_binary","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/sad_2","1200","0","0","completed_exit0","2026-06-04T20:26:04+08:00","2026-06-04T20:26:04+08:00","0","Raw Parboil sad source exists but no local runnable wrapper or binary"
"baseline_off__spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/spmv","1200","0","0","completed_exit0","2026-06-04T20:26:04+08:00","2026-06-04T20:26:04+08:00","0","Local Parboil SpMV tiny wrapper"
"baseline_off__srad_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","placeholder_phase_unknown","experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/srad_1","1200","0","0","completed_exit0","2026-06-04T20:26:04+08:00","2026-06-04T20:26:04+08:00","0","Local SRAD app exists but srad-1 phase mapping is unresolved"
