paper_id,paper_name,paper_type,baseline_off,m4_reexec_load
bp_2,BP-2,M,no_stats_exit0,no_stats_exit0
bfs,bfs,M,no_stats_exit0,no_stats_exit0
histo_1,histo-1,M,no_stats_exit0,no_stats_exit0
histo_3,histo-3,M,no_stats_exit0,no_stats_exit0
kmeans_1,kmeans-1,M,no_stats_exit0,no_stats_exit0
lbm,lbm,M,no_stats_exit0,no_stats_exit0
leuko_1,leuko-1,M,no_stats_exit0,no_stats_exit0
mrig_1,mrig-1,M,no_stats_exit0,no_stats_exit0
mrig_2,mrig-2,M,no_stats_exit0,no_stats_exit0
mummer,mummer,M,no_stats_exit0,no_stats_exit0
particle,particle,M,no_stats_exit0,no_stats_exit0
sad_2,sad-2,M,no_stats_exit0,no_stats_exit0
spmv,spmv,M,no_stats_exit0,no_stats_exit0
srad_1,srad-1,M,no_stats_exit0,no_stats_exit0
srad_2,srad-2,M,no_stats_exit0,no_stats_exit0
bp_1,BP-1,C,no_stats_exit0,no_stats_exit0
cutcp,cutcp,C,no_stats_exit0,no_stats_exit0
histo_2,histo-2,C,no_stats_exit0,no_stats_exit0
histogram,histogram,C,no_stats_exit0,no_stats_exit0
kmeans_2,kmeans-2,C,no_stats_exit0,no_stats_exit0
lavamd,lavaMD,C,no_stats_exit0,no_stats_exit0
leuko_2,leuko-2,C,no_stats_exit0,no_stats_exit0
leuko_3,leuko-3,C,no_stats_exit0,no_stats_exit0
mri_q,mri-q,C,no_stats_exit0,no_stats_exit0
mrig_3,mrig-3,C,no_stats_exit0,no_stats_exit0
pathfinder,pathfinder,C,no_stats_exit0,no_stats_exit0
sad_1,sad-1,C,no_stats_exit0,no_stats_exit0
sgemm,sgemm,C,no_stats_exit0,no_stats_exit0
stencil,stencil,C,no_stats_exit0,no_stats_exit0
tpacf,tpacf,C,no_stats_exit0,no_stats_exit0
