run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m3_probe_attempt,paper_mascar_m3_probe_hit,paper_mascar_m3_probe_nack,paper_mascar_m3_probe_skip_not_mp,paper_mascar_m3_probe_skip_no_owner,paper_mascar_m3_probe_skip_owner,paper_mascar_m3_probe_skip_nonload,paper_mascar_m3_nonowner_lsu_probe_allowed,paper_mascar_m3_nonowner_lsu_probe_block_nonload,paper_mascar_m3_nack_guard_owner_release,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,gpgpusim_exit,result_status,result_pass
baseline_off__bp_2,baseline_off,bp_2,BP-2,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/bp_2,1,0,completed_nonzero_or_error,simulator_error_no_stats,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__bfs,baseline_off,bfs,bfs,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/bfs,0,0,completed_exit0,completed_no_explicit_pass,1,0,6665,0.2029,1352,26,0,1664,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,18,8,0,1,completed_no_explicit_pass,0
baseline_off__histo_1,baseline_off,histo_1,histo-1,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/histo_1,0,0,completed_exit0,completed_explicit_pass,1,1,7100,282.3211,2004480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,64,64,0,1,explicit_pass,1
baseline_off__histo_3,baseline_off,histo_3,histo-3,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/histo_3,0,0,completed_exit0,completed_explicit_pass,1,1,7100,282.3211,2004480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,64,64,0,1,explicit_pass,1
baseline_off__kmeans_1,baseline_off,kmeans_1,kmeans-1,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/kmeans_1,0,0,completed_exit0,completed_no_explicit_pass,1,0,5592,0.9728,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,32,0,1,completed_no_explicit_pass,0
baseline_off__spmv,baseline_off,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/spmv,0,0,completed_exit0,completed_explicit_pass,1,1,21813,0.9723,21208,674,0,23777,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,explicit_pass,1
baseline_off__srad_1,baseline_off,srad_1,srad-1,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/srad_1,0,0,completed_exit0,completed_no_explicit_pass,1,0,8236,80.2572,660998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,144,3648,1050,1,completed_no_explicit_pass,0
baseline_off__srad_2,baseline_off,srad_2,srad-2,M,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/srad_2,0,0,completed_exit0,completed_no_explicit_pass,1,0,8236,80.2572,660998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,144,3648,1050,1,completed_no_explicit_pass,0
baseline_off__bp_1,baseline_off,bp_1,BP-1,C,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/bp_1,1,0,completed_nonzero_or_error,simulator_error_no_stats,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_2,baseline_off,histo_2,histo-2,C,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/histo_2,0,0,completed_exit0,completed_explicit_pass,1,1,7100,282.3211,2004480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,64,64,0,1,explicit_pass,1
baseline_off__kmeans_2,baseline_off,kmeans_2,kmeans-2,C,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/kmeans_2,0,0,completed_exit0,completed_no_explicit_pass,1,0,5592,0.9728,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,32,0,1,completed_no_explicit_pass,0
baseline_off__mri_q,baseline_off,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/W10/w10_actual/runs/baseline_off/mri_q,0,0,completed_exit0,completed_no_explicit_pass,1,0,5547,1.0788,5984,12,0,546,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,1,completed_no_explicit_pass,0
