run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m3_probe_attempt,paper_mascar_m3_probe_hit,paper_mascar_m3_probe_nack,paper_mascar_m3_probe_skip_not_mp,paper_mascar_m3_probe_skip_no_owner,paper_mascar_m3_probe_skip_owner,paper_mascar_m3_probe_skip_nonload,paper_mascar_m3_nonowner_lsu_probe_allowed,paper_mascar_m3_nonowner_lsu_probe_block_nonload,paper_mascar_m3_nack_guard_owner_release,paper_mascar_m3diag_enabled,paper_mascar_m3diag_mem_inst_seen,paper_mascar_m3diag_load_inst_seen,paper_mascar_m3diag_mp_mode_seen,paper_mascar_m3diag_owner_valid_seen,paper_mascar_m3diag_nonowner_load_candidate,paper_mascar_m3diag_scheduler_allow_nonowner_load,paper_mascar_m3diag_scheduler_block_nonowner_mem,paper_mascar_m3diag_lsu_l1d_access_seen,paper_mascar_m3diag_l1d_nonowner_load_seen,paper_mascar_m3diag_hitonly_probe_called,paper_mascar_m3diag_hitonly_probe_hit,paper_mascar_m3diag_hitonly_probe_nack,paper_mascar_m3diag_active_hitonly_access_called,paper_mascar_m3diag_active_hitonly_access_hit,paper_mascar_m3diag_active_hitonly_access_nack,paper_mascar_m3diag_skip_config_off,paper_mascar_m3diag_skip_not_mp,paper_mascar_m3diag_skip_no_owner,paper_mascar_m3diag_skip_owner_warp,paper_mascar_m3diag_skip_not_load,paper_mascar_m3diag_skip_not_l1d,paper_mascar_m3diag_skip_nonowner_hitonly_disabled,paper_mascar_m3diag_skip_not_ready_or_scoreboard,paper_mascar_m3diag_skip_m2_blocked_before_lsu,paper_mascar_m3diag_trace_lines_emitted,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,kernel_avg_power,kernel_max_power,kernel_min_power,gpu_tot_avg_power,gpu_tot_max_power,gpu_tot_min_power,power_total_avg,power_peak,power_total_min,energy_total,energy_dynamic,energy_leakage,energy_dram,energy_l2,energy_fields_found,gpgpusim_exit,result_status,result_pass,suite_id,benchmark_name,availability_status,current_ready,command_status,smoke_status_w20,correctness_status_w20,suite_classification,suite_correctness_pass
baseline_off__rodinia_backprop,baseline_off,rodinia_backprop,rodinia_backprop,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_backprop,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,backprop,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_bfs,baseline_off,rodinia_bfs,rodinia_bfs,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_bfs,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,bfs,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_hotspot,baseline_off,rodinia_hotspot,rodinia_hotspot,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_hotspot,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,hotspot,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_kmeans,baseline_off,rodinia_kmeans,rodinia_kmeans,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_kmeans,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,kmeans,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_lud,baseline_off,rodinia_lud,rodinia_lud,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_lud,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,lud,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_nw,baseline_off,rodinia_nw,rodinia_nw,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_nw,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,nw,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_pathfinder,baseline_off,rodinia_pathfinder,rodinia_pathfinder,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,pathfinder,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__rodinia_srad,baseline_off,rodinia_srad,rodinia_srad,rodinia,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/rodinia_srad,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,rodinia,srad,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__parboil_histo,baseline_off,parboil_histo,parboil_histo,parboil,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/parboil_histo,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,parboil,histo,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
baseline_off__parboil_mri_q,baseline_off,parboil_mri_q,parboil_mri_q,parboil,ready,experiments/suites/results/W22/run_final_dryrun_20260605_164355/runs/baseline_off/parboil_mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,parboil,mri-q,ready,1,command_verified,no_stats_exit0,not_correctness_pass,dry_run_or_no_stats_exit0,0
