app_id,suite_id,benchmark_name,availability_status,current_ready,classification,suite_classification,suite_correctness_pass
rodinia_bplustree,rodinia,b+tree,binary_available_command_unverified,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_backprop,rodinia,backprop,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_bfs,rodinia,bfs,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_cfd,rodinia,cfd,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_dwt2d,rodinia,dwt2d,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_gaussian,rodinia,gaussian,failed_smoke,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_heartwall,rodinia,heartwall,binary_available_command_unverified,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_hotspot,rodinia,hotspot,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_hotspot3D,rodinia,hotspot3D,binary_available_command_unverified,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_huffman,rodinia,huffman,binary_available_command_unverified,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_hybridsort,rodinia,hybridsort,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_kmeans,rodinia,kmeans,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_lavaMD,rodinia,lavaMD,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_leukocyte,rodinia,leukocyte,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_lud,rodinia,lud,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_mummergpu,rodinia,mummergpu,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_myocyte,rodinia,myocyte,failed_smoke,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_nn,rodinia,nn,failed_smoke,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_nw,rodinia,nw,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_particlefilter,rodinia,particlefilter,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_pathfinder,rodinia,pathfinder,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_srad,rodinia,srad,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
rodinia_streamcluster,rodinia,streamcluster,failed_smoke,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_bfs,parboil,bfs,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_cp,parboil,cp,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_cutcp,parboil,cutcp,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_fft,parboil,fft,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_histo,parboil,histo,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_imghisto,parboil,imghisto,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_lbm,parboil,lbm,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_mri_fhd,parboil,mri-fhd,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_mri_gridding,parboil,mri-gridding,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_mri_q,parboil,mri-q,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_pns,parboil,pns,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_rpes,parboil,rpes,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_sad,parboil,sad,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_sgemm,parboil,sgemm,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_simple_mm,parboil,simple_mm,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_spmv,parboil,spmv,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_stencil,parboil,stencil,ready,1,no_stats_exit0,dry_run_or_no_stats_exit0,0
parboil_tpacf,parboil,tpacf,source_available_missing_binary,0,no_stats_exit0,dry_run_or_no_stats_exit0,0
