run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,gpgpusim_exit,result_status,result_pass
baseline_off__spmv,baseline_off,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/baseline_off/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mri_q,baseline_off,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/baseline_off/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__pathfinder,baseline_off,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/baseline_off/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__spmv,m2_owner_sched,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m2_owner_sched/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__mri_q,m2_owner_sched,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m2_owner_sched/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__pathfinder,m2_owner_sched,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m2_owner_sched/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m3_hitonly_nack__spmv,m3_hitonly_nack,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m3_hitonly_nack/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m3_hitonly_nack__mri_q,m3_hitonly_nack,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m3_hitonly_nack/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m3_hitonly_nack__pathfinder,m3_hitonly_nack,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m3_hitonly_nack/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__spmv,m4_reexec_load,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m4_reexec_load/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mri_q,m4_reexec_load,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m4_reexec_load/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__pathfinder,m4_reexec_load,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/W8/w8_focused_dryrun_configfix/runs/m4_reexec_load/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
