paper_id,paper_name,paper_type,current_status,primary_gap,secondary_gap,candidate_source,candidate_binary,candidate_data,candidate_build_command,phase_mapping_status,recommended_W17B_action,recommended_W17C_action,notes
bp_2,BP-2,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local backprop app exists but BP-2 phase mapping is unresolved
bfs,bfs,M,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data/tiny_graph.txt,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,approximate,none,keep_existing_ready_wrapper,Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local histo app exists but histo-1 phase mapping is unresolved
histo_3,histo-3,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local histo app exists but histo-3 phase mapping is unresolved
kmeans_1,kmeans-1,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local kmeans app exists but kmeans-1 phase mapping is unresolved
lbm,lbm,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil lbm source exists but no local runnable wrapper or binary
leuko_1,leuko-1,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
mrig_1,mrig-1,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mrig_2,mrig-2,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
mummer,mummer,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary
particle,particle,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary
sad_2,sad-2,M,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil sad source exists but no local runnable wrapper or binary
spmv,spmv,M,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,approximate,none,keep_existing_ready_wrapper,Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local SRAD app exists but srad-1 phase mapping is unresolved
