paper_id,paper_name,paper_type,availability_status,wrapper_path,wrapper_status,build_required,build_command,run_working_dir,run_command,input_size,timeout_sec,dry_run_status,phase_mapping_status,W17_update_status,notes
bp_2,BP-2,M,available,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,300,pass,app_level_pending_kernel_trace,app_level_ready_phase_pending,Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
bfs,bfs,M,available,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_bfs,tiny,300,pass,inferred,unchanged_ready,Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,available,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,app_level_pending_kernel_trace,app_level_ready_phase_pending,Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
histo_3,histo-3,M,available,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,app_level_pending_kernel_trace,app_level_ready_phase_pending,Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
kmeans_1,kmeans-1,M,available,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,ready,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_kmeans,tiny,300,pass,app_level_pending_kernel_trace,app_level_ready_phase_pending,Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
lbm,lbm,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_1,leuko-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_1,mrig-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_2,mrig-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mummer,mummer,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
particle,particle,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_missing_binary,no,,,,,1200,pass,unavailable,still_missing_binary,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
