priority,paper_id,action_type,action_detail,expected_risk,expected_time,can_attempt_in_W17B,can_attempt_in_W17C,notes
1,cutcp,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,lavamd,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD -f makefile,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,lbm,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,leuko_1,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,leuko_2,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,leuko_3,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,mrig_1,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,mrig_2,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,mrig_3,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,mummer,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,particle,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,sad_1,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
