paper_id,paper_name,paper_type,current_availability_status,current_wrapper_status,current_phase_mapping_status,alias_used,candidate_kind,candidate_path,has_source,has_binary,has_makefile,has_cmake,has_build_script,has_data,likely_suite,confidence,notes
bp_2,BP-2,M,partial_phase_unknown,placeholder_phase_unknown,app_only,backprop|bp,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,1,1,1,0,0,0,rodinia,high,Local backprop app exists but BP-2 paper phase mapping is unresolved
bp_2,BP-2,M,partial_phase_unknown,placeholder_phase_unknown,app_only,backprop|bp,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,1,1,1,0,0,0,rodinia,high,existing binary path from audited manifest
bfs,bfs,M,available,ready,approximate,bfs,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,1,1,1,0,0,1,rodinia,high,Local Rodinia BFS tiny wrapper is available
bfs,bfs,M,available,ready,approximate,bfs,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,1,1,1,0,0,1,rodinia,high,existing binary path from audited manifest
histo_1,histo-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,1,1,1,0,1,1,parboil,high,Local histo app exists but histo-1 paper phase mapping is unresolved
histo_1,histo-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,1,1,1,0,1,1,parboil,high,existing binary path from audited manifest
histo_3,histo-3,M,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,1,1,1,0,1,1,parboil,high,Local histo app exists but histo-3 paper phase mapping is unresolved
histo_3,histo-3,M,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,1,1,1,0,1,1,parboil,high,existing binary path from audited manifest
kmeans_1,kmeans-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,kmeans,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,1,1,1,0,1,1,rodinia,high,Local kmeans app exists but kmeans-1 paper phase mapping is unresolved
kmeans_1,kmeans-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,kmeans,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,1,1,1,0,1,1,rodinia,high,existing binary path from audited manifest
lbm,lbm,M,missing_binary,placeholder_missing_binary,not_found,lbm,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm,1,1,1,0,0,0,parboil,high,No local lbm wrapper found in gpgpu-workloads manifest
