paper_id,paper_name,paper_type,wrapper_status,runs,completed_runs,explicit_pass_runs,m2_active,m3_strict_active,m3_probe_observed,m4_active,any_strict_active
bp_2,BP-2,M,ready,1,0,0,0,0,0,0,0
bfs,bfs,M,ready,1,1,0,0,0,0,0,0
histo_1,histo-1,M,ready,1,1,1,0,0,0,0,0
histo_3,histo-3,M,ready,1,1,1,0,0,0,0,0
kmeans_1,kmeans-1,M,ready,1,1,0,0,0,0,0,0
lbm,lbm,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
leuko_1,leuko-1,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
mrig_1,mrig-1,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
mrig_2,mrig-2,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
mummer,mummer,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
particle,particle,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
sad_2,sad-2,M,placeholder_missing_binary,0,0,0,0,0,0,0,0
spmv,spmv,M,ready,1,1,1,0,0,0,0,0
srad_1,srad-1,M,ready,1,1,0,0,0,0,0,0
srad_2,srad-2,M,ready,1,1,0,0,0,0,0,0
bp_1,BP-1,C,ready,1,0,0,0,0,0,0,0
cutcp,cutcp,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
histo_2,histo-2,C,ready,1,1,1,0,0,0,0,0
histogram,histogram,C,placeholder_missing_source,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,ready,1,1,0,0,0,0,0,0
lavamd,lavaMD,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
leuko_2,leuko-2,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
leuko_3,leuko-3,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
mri_q,mri-q,C,ready,1,1,0,0,0,0,0,0
mrig_3,mrig-3,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,ready,1,1,0,0,0,0,0,0
sad_1,sad-1,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
sgemm,sgemm,C,ready,1,1,0,0,0,0,0,0
stencil,stencil,C,ready,1,1,0,0,0,0,0,0
tpacf,tpacf,C,placeholder_missing_binary,0,0,0,0,0,0,0,0
