paper_id,paper_name,paper_type,paper_suite,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status,selected_for_w8,selection_tier,expected_m2_active,expected_m3_active,expected_m4_active,timeout_sec,notes
bp_2,BP-2,M,Rodinia,19,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local backprop app exists but BP-2 paper phase mapping is unresolved
bfs,bfs,M,Rodinia,2.4,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_bfs_w7.sh,ready,available,approximate,0,ready_not_active_w7,0,0,0,420,Ready but not in W7 activation-ready subset. w7_iter1_1024nodes_d16; classification=completed_stats_found; l1_sat_samples=147; l1_sat_saturated=0; no active M2/M3/M4 counter under W7 iter1 input
histo_1,histo-1,M,Parboil,15.3,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local histo app exists but histo-1 paper phase mapping is unresolved
histo_3,histo-3,M,Parboil,14.3,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local histo app exists but histo-3 paper phase mapping is unresolved
kmeans_1,kmeans-1,M,Rodinia,0.27,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local kmeans app exists but kmeans-1 paper phase mapping is unresolved
lbm,lbm,M,Parboil,10.4,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local lbm wrapper found in gpgpu-workloads manifest
leuko_1,leuko-1,M,Rodinia,28,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local leukocyte wrapper found in gpgpu-workloads manifest
mrig_1,mrig-1,M,Parboil,13.4,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local mri-gridding wrapper found in gpgpu-workloads manifest
mrig_2,mrig-2,M,Parboil,22.4,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local mri-gridding wrapper found in gpgpu-workloads manifest
mummer,mummer,M,Rodinia,4.9,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local mummer wrapper found in gpgpu-workloads manifest
particle,particle,M,Rodinia,3.5,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local particlefilter wrapper found in gpgpu-workloads manifest
sad_2,sad-2,M,Parboil,10.2,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local sad wrapper found in gpgpu-workloads manifest
spmv,spmv,M,Parboil,4.2,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,available,approximate,1,w7_activation_ready,1,0,1,420,W8 selected from W7 activation-ready subset. w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed
srad_1,srad-1,M,Rodinia,25,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local SRAD v2 app exists but srad-1 paper phase mapping is unresolved
srad_2,srad-2,M,Rodinia,22,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local SRAD v2 app exists but srad-2 paper phase mapping is unresolved
bp_1,BP-1,C,Rodinia,107,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local backprop app exists but BP-1 paper phase mapping is unresolved
cutcp,cutcp,C,Parboil,949,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local cutcp wrapper found in gpgpu-workloads manifest
histo_2,histo-2,C,Parboil,35.9,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local histo app exists but histo-2 paper phase mapping is unresolved
histogram,histogram,C,Rodinia,91.2,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local histogram wrapper found in gpgpu-workloads manifest
kmeans_2,kmeans-2,C,Rodinia,88,,placeholder_phase_unknown,partial_phase_unknown,app_only,0,placeholder_or_unavailable,0,0,0,600,Local kmeans app exists but kmeans-2 paper phase mapping is unresolved
lavamd,lavaMD,C,Rodinia,512,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local lavaMD wrapper found in gpgpu-workloads manifest
leuko_2,leuko-2,C,Rodinia,173,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local leukocyte wrapper found in gpgpu-workloads manifest
leuko_3,leuko-3,C,Rodinia,5289,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local leukocyte wrapper found in gpgpu-workloads manifest
mri_q,mri-q,C,Parboil,3479,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,available,approximate,1,w7_activation_ready,1,0,1,420,W8 selected from W7 activation-ready subset. w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed
mrig_3,mrig-3,C,Parboil,147,,placeholder_missing_source,missing_source,not_found,0,placeholder_or_unavailable,0,0,0,600,No local mri-gridding wrapper found in gpgpu-workloads manifest
