run_group,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,selected_for_run,run_priority,timeout_sec,expected_m2_active,expected_m3_active,expected_m4_active,notes
w7_activation_ready,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,spmv,spmv,M,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,1,1,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed
w7_activation_ready,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,spmv,spmv,M,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,1,1,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed
w7_activation_ready,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,spmv,spmv,M,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,1,1,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed
w7_activation_ready,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,spmv,spmv,M,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,1,1,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_1024x1024_d16; classification=completed_explicit_pass; l1_sat_samples=25057; l1_sat_saturated=37; activation observed
w7_activation_ready,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,mri_q,mri-q,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed
w7_activation_ready,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,mri_q,mri-q,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed
w7_activation_ready,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,mri_q,mri-q,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed
w7_activation_ready,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,mri_q,mri-q,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_k128_x128; classification=completed_stats_found; l1_sat_samples=52; l1_sat_saturated=4; activation observed
w7_activation_ready,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed
w7_activation_ready,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed
w7_activation_ready,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed
w7_activation_ready,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh,ready,1,2,420,1,0,1,W8 selected from W7 activation-ready subset. w7_iter1_256x256_p4; classification=completed_stats_found; l1_sat_samples=315; l1_sat_saturated=89; activation observed
